Uroviricota	Hofneiviricota	Phixviricota	Lenarviricota	Preplasmiviricota	Produgelaviricota	Dividoviricota
PHROG_849						
PHROG_850						
PHROG_851						
PHROG_852						
PHROG_853						
PHROG_854						
PHROG_855						
PHROG_856						
PHROG_858						
PHROG_859						
PHROG_860						
PHROG_861						
PHROG_862						
PHROG_863						
PHROG_864						
PHROG_865						
PHROG_866						
PHROG_867						
PHROG_868						
PHROG_869						
PHROG_870						
PHROG_871						
PHROG_872						
PHROG_874						
PHROG_875						
PHROG_876						
PHROG_877						
PHROG_878						
PHROG_881						
PHROG_882						
PHROG_883						
PHROG_884						
PHROG_885						
PHROG_886						
PHROG_887						
PHROG_888						
PHROG_889						
PHROG_890						
PHROG_891						
PHROG_892						
PHROG_893						
PHROG_894						
PHROG_895						
PHROG_896						
PHROG_897						
PHROG_898						
PHROG_899						
PHROG_900						
PHROG_901						
PHROG_902						
PHROG_904						
PHROG_905						
PHROG_906						
PHROG_907						
PHROG_908						
PHROG_909						
PHROG_910						
PHROG_911						
PHROG_912						
PHROG_913						
PHROG_914						
PHROG_915						
PHROG_916						
PHROG_917						
PHROG_918						
PHROG_919						
PHROG_920						
PHROG_921						
PHROG_922						
PHROG_923						
PHROG_924						
PHROG_925						
PHROG_926						
PHROG_927						
PHROG_928						
PHROG_931						
PHROG_932						
PHROG_933						
PHROG_934						
PHROG_935						
PHROG_936						
PHROG_937						
PHROG_938						
PHROG_939						
PHROG_940						
PHROG_941						
PHROG_943						
PHROG_944						
PHROG_945						
PHROG_946						
PHROG_947						
PHROG_948						
PHROG_949						
PHROG_950						
PHROG_951						
PHROG_952						
PHROG_953						
PHROG_954						
PHROG_955						
PHROG_956						
PHROG_957						
PHROG_958						
PHROG_959						
PHROG_960						
PHROG_961						
PHROG_962						
PHROG_963						
PHROG_964						
PHROG_965						
PHROG_966						
PHROG_967						
PHROG_968						
PHROG_970						
PHROG_971						
PHROG_972						
PHROG_973						
PHROG_975						
PHROG_976						
PHROG_977						
PHROG_978						
PHROG_979						
PHROG_980						
PHROG_981						
PHROG_982						
PHROG_983						
PHROG_984						
PHROG_985						
PHROG_987						
PHROG_988						
PHROG_989						
PHROG_990						
PHROG_991						
PHROG_992						
PHROG_993						
PHROG_995						
PHROG_996						
PHROG_997						
PHROG_998						
PHROG_999						
PHROG_1000						
PHROG_1002						
PHROG_1003						
PHROG_1004						
PHROG_1005						
PHROG_1006						
PHROG_1007						
PHROG_1008						
PHROG_1009						
PHROG_1010						
PHROG_1011						
PHROG_1013						
PHROG_1014						
PHROG_1015						
PHROG_1016						
PHROG_1017						
PHROG_1018						
PHROG_1019						
PHROG_1021						
PHROG_1022						
PHROG_1024						
PHROG_1025						
PHROG_1026						
PHROG_1027						
PHROG_1028						
PHROG_1029						
